File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
config3_4096gpu_175B-, 233091 (23.94%), 0 (0.00%), 723325 (74.30%), 0 (0.00%), 0 (0.00%), 17049 (1.75%), 2 (0.00%), 956417 (98.25%), 973468
layer_name,Analytical_test,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw
grad_norm,Analytical_test,0,0,0,14232,233091,0,14232,403.48,353.05,233091,49.27,48.50,0,-nan,0.00
layernorm,Analytical_test,0,0,0,0,0,27913,0,-nan,0.00,0,-nan,0.00,27913,205.71,360.00
moe_grad_norm1,Analytical_test,0,0,0,0,0,0,0,-nan,0.00,0,-nan,-nan,0,-nan,0.00
moe_grad_norm2,Analytical_test,0,0,0,0,0,0,0,-nan,0.00,0,-nan,-nan,0,-nan,0.00
embedding_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
attention_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
mlp_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
attention_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
mlp_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
attention_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
mlp_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
attention_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
mlp_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
attention_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
mlp_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
attention_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
mlp_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
attention_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
mlp_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
attention_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
mlp_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
attention_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
mlp_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
attention_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
mlp_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
attention_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
mlp_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
attention_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
mlp_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
embedding_norm,Analytical_test,0,0,0,5592,0,0,5592,205.71,360.00,0,-nan,0.00,0,-nan,0.00
embedding_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
attention_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
mlp_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
attention_layer,Analytical_test,0,0,0,456,0,456,456,205.71,360.00,0,-nan,0.00,456,205.71,360.00
